"Geno","Location","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"CP85-830","Light",101.324362440242,72.16627212595,82723.374156175,23.6250091957631,18.0061112311262,13.5903687863019,0.924085721839756,14.56118684052,71.09484192969,62.234649832965,79.8538952180965
"DHAULU","Heavy",116.543152258726,66.7696790455061,78580.9690940487,24.0618902156744,19.8520745075126,12.930578724579,0.881882155819993,16.6825715408455,69.3094296874187,74.5789881121052,83.4490170012914
"DHAULU","Light",89.5264974436162,48.8464638172212,85266.0187492681,19.4745744951056,16.9630707169684,14.9084743095801,0.566837481963579,13.1637166433127,70.8648065970005,56.237034569391,74.3153301987901
"DIDENG","Heavy",89.3522905883054,61.3907943965115,50691.383283079,23.7664354222923,16.982764256148,11.4569301136597,1.09338029826112,13.4237060643802,73.1281176699694,56.9131459674561,77.1868510397487
"DIDENG","Light",102.267498642477,70.920892047022,72854.0658050119,24.869429756975,17.8599837667192,11.9301823809716,1.02622183190232,14.6061152270746,72.4027015323805,62.399126850269,80.6733974359508
"DWARF1","Heavy",121.038296482127,59.8474113858353,74607.9208905582,21.0356949473694,19.7316802792896,14.0780063026825,0.755755828910423,17.1809927506763,68.757521948465,73.5685118058806,84.6655654246027
"DWARF1","Light",124.019274847491,76.2274809423817,97677.2448174438,20.7989832885555,19.937029491599,14.8686552790889,0.816948003990631,17.230778159138,68.1940791888246,74.4007063839049,85.079280316995
"DWARF2","Heavy",125.879384788873,39.1944344424903,58695.4093641063,22.0996430013401,20.3842777232474,12.3383672019648,0.580356886383786,17.8358008301787,69.6460061731614,76.2365346952034,84.8908235187623
"DWARF2","Light",128.250918259804,58.0269306116895,94321.197492464,23.0716119791244,20.5463613445871,12.156783062594,0.685831679379914,17.8016577700536,69.8316485171701,77.0251019848841,85.6330506913459
"FIJI 47","Heavy",77.644172363901,18.8302648639821,28249.5889885683,28.5509547558257,15.1288493546632,9.84425352985838,1.27269984132303,11.8223252364589,76.5383841748847,49.1778205894126,76.0565166200424
"FIJI 47","Light",94.1767759472455,38.7619045559379,49322.3627071954,25.9625971127247,17.5430878995284,12.4688653804625,0.843630924785717,13.7588833594623,72.5160688803429,58.7077832898931,77.1447030583936
"FIJI1","Heavy",109.310289326872,51.9172251801654,49298.9296905152,26.5789670869545,18.70999985544,13.6885842775189,0.989541483867728,15.8053816497825,70.2929928022639,67.1138301979101,81.989343779886
