"Genotype","TRS_kg_per_Mg_BLUP","CYMg_per_ha_BLUP","Population_BLUP","Dia_BLUP","Brix_BLUP","Fiber_BLUP","SW_kg_BLUP","Sucrose.._BLUP","Moisture_BLUP","Pol..Reading_BLUP","Purity_BLUP"
"HO06-530",108.777486283416,60.4566036458559,84233.1141418633,22.2009395989653,19.0128070785976,12.532325738276,0.768367198277342,15.544106746052,70.8038227552837,66.8048883827428,80.6908467541903
"HO09-824",130.867415808904,68.2189931130421,99725.0482017976,20.2934810877451,20.0843934569272,14.6813373865983,0.711914740304926,17.9135640116423,68.1014114921921,77.3975486628408,87.8390792979812
"TERERU",89.4339359793555,45.5511641904251,112852.459061613,14.1632667058939,16.5762000845318,16.9818500170782,0.352670483551254,13.0335000275061,69.4712099240338,55.4312007529374,77.2129075121572
"UBANAQUIN",79.2533573566433,46.6044832536886,89598.4158662243,17.8750580778481,15.6380356338119,13.5279896744638,0.504713237418288,11.8183362005121,72.8821047441901,50.0135287792395,74.366249271642
"L08-090",130.178560943119,65.682447713068,98233.0725931034,21.0090045016546,20.458258140563,13.9175662713198,0.735389892218294,17.9562175126008,68.4882802991869,77.715863522712,86.5455483097676
"MCILKRUM",88.019922642583,35.1464885592893,59282.8209890367,17.6988339353275,16.4229752305975,14.4501148544561,0.482379999856589,12.8616201419739,71.4797481009785,54.6351570730431,77.1169620216669
"HB07-3114-8",59.9569697566656,43.1852864361708,99626.1118944555,14.6879231273555,12.4660515657208,28.74752070808,0.364801463510915,9.10183393383993,64.2431385539689,38.01170255419,71.3055209570509
"DHAULU",100.229170166222,56.8896458753913,86025.7139766667,20.3072662468599,17.9485815686269,14.3986529083864,0.65377356718493,14.4283511179717,70.4147234988802,61.964179389286,77.1514227848817
"YUEGSEN",63.2432578863087,50.0945429645044,127916.138772534,13.7774737639528,15.7470412294112,16.1768920552097,0.389519113910863,10.3439625855837,71.2196623445329,43.8464659153016,64.878492468134
"3043-8",53.5167136099448,57.0678466323817,151511.698509487,14.2007352563122,12.5853087857241,24.6134534768744,0.359570022638712,8.53506278970798,67.22805562437,35.7152514753387,65.6241946550219
"NG5754",71.2988309421514,63.1258163599422,238390.618401955,11.7575360310843,15.0605259787127,20.2207391796255,0.278735544810385,10.9103444572748,68.4565469876393,46.0540144301011,71.4747948451552
"MISC",94.795815245712,64.6523538620251,103968.628041288,21.6852193090425,17.226572839068,15.475061266825,0.671993663687878,13.7273473110805,70.0478179546608,58.9077814231971,75.5847171739909
"FIJI 47",89.0922655624305,41.8688121053021,54839.1776837367,26.2723390616991,16.6430462681752,11.5566436448482,0.961092855890755,13.0266831702156,73.564553922718,55.3911405488486,77.164346091199
"POJ234",120.705111336782,70.5927666152841,71945.8127830472,25.4393124745766,19.9258617086487,12.7393620763558,1.14898977125548,16.9192526798192,69.6250253210752,73.0511901207631,83.7039821589776
"L05-448",122.749794539153,69.3213274647745,103146.870703635,21.9147935542041,19.9541066864142,12.9594375301552,0.780005372091507,17.1208392155126,69.6344822539287,73.9148887652217,84.5722189605092
"L09-118",112.267193627172,38.1454601993458,51557.3799973474,21.8624695218565,19.1695408722053,12.6170929417895,0.716630460054298,15.9169805866315,70.781893730142,68.4682916479235,81.8939542955121
"DWARF1",122.960888553354,67.5120300444158,92883.5398983163,20.6677867104894,19.8429396800597,14.6777666528727,0.787059392995218,17.1047170293433,68.3843400136439,73.8538217054207,84.7595299730907
"HB07-3023-5",84.9384024566444,43.6525445733075,125957.422855848,14.5425461819843,16.8078335338547,20.0353795813519,0.329525578412756,12.6804240640584,67.0518292462412,53.934188168218,74.6755921742082
